PropertyKey|RealEstatePropertyCode|ProvalLrsnId|NeighborhoodNbr|PropertyStreetNbrNameText|SalesTypeCode|SalesTypeDsc|DeedBookNbr|DeedPageNbr|GranteeName|SaleAmt|SaleDate|LandRecordDocumentNbr|MaskOwnerAddressInd
23359|17040309|31279|412006|1111 ARLINGTON BLVD 809|1|1-Foreclosure, Auction, Bankru|2790|1391|ARLAND LLC                          |30000|1996-08-14 00:00:00||False
23359|17040309|31279|412006|1111 ARLINGTON BLVD 809|7|7-Partial Interest|3808|2458|ARLAND LLC                          |99500|2004-12-22 00:00:00||False
23359|17040309|31279|412006|1111 ARLINGTON BLVD 809|||4470|1068|ARLAND LLC                          |83653|2011-06-30 00:00:00||False
23360|17040310|31280|412006|1111 ARLINGTON BLVD 810|5|5-Not Market Sale|1624|0099|ARLAND LLC|0|1966-01-01 00:00:00||False
23360|17040310|31280|412006|1111 ARLINGTON BLVD 810|||2128|1195|ARLAND LLC|48000|1983-01-18 00:00:00||False
23360|17040310|31280|412006|1111 ARLINGTON BLVD 810|5|5-Not Market Sale|2755|2186|ARLAND LLC|0|1995-12-28 00:00:00||False
23360|17040310|31280|412006|1111 ARLINGTON BLVD 810|5|5-Not Market Sale|3821|0765|ARLAND LLC|0|2002-06-03 00:00:00||False
23360|17040310|31280|412006|1111 ARLINGTON BLVD 810|O|O-Assignment of Lease|    |    |ARLAND LLC|123500|2019-10-31 00:00:00|20190100020641                  |False
23360|17040310|31280|412006|1111 ARLINGTON BLVD 810|||    |    |ARLAND LLC|127500|2025-07-07 00:00:00|20250100008528                  |False
66641|17040311|31281|412006|1111 ARLINGTON BLVD 811|||2722|0800|ARLAND LLC                          |19500|1995-04-05 00:00:00||False
66641|17040311|31281|412006|1111 ARLINGTON BLVD 811|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
23361|17040312|31282|412006|1111 ARLINGTON BLVD 812|5|5-Not Market Sale|1624|0099|ARLAND LLC                          |0|1966-01-01 00:00:00||False
23361|17040312|31282|412006|1111 ARLINGTON BLVD 812|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
23361|17040312|31282|412006|1111 ARLINGTON BLVD 812|||3752|1654|ARLAND LLC                          |124000|2004-09-02 00:00:00||False
23361|17040312|31282|412006|1111 ARLINGTON BLVD 812|||4457|1180|ARLAND LLC                          |130000|2011-04-29 00:00:00||False
23362|17040313|31283|412006|1111 ARLINGTON BLVD 813|||2379|1154|ARLAND LLC                          |57500|1989-04-07 00:00:00||False
23362|17040313|31283|412006|1111 ARLINGTON BLVD 813|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
23362|17040313|31283|412006|1111 ARLINGTON BLVD 813|||3797|0385|ARLAND LLC                          |117000|2005-01-03 00:00:00||False
23362|17040313|31283|412006|1111 ARLINGTON BLVD 813|||4442|0691|ARLAND LLC                          |119500|2011-02-18 00:00:00||False
66642|17040314|31284|412006|1111 ARLINGTON BLVD 814|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
66642|17040314|31284|412006|1111 ARLINGTON BLVD 814|1|1-Foreclosure, Auction, Bankru|2790|1451|ARLAND LLC                          |25000|1996-08-14 00:00:00||False
66642|17040314|31284|412006|1111 ARLINGTON BLVD 814|7|7-Partial Interest|3808|2461|ARLAND LLC                          |99500|2004-12-22 00:00:00||False
66642|17040314|31284|412006|1111 ARLINGTON BLVD 814|||3988|0935|ARLAND LLC                          |133500|2006-05-11 00:00:00||False
66642|17040314|31284|412006|1111 ARLINGTON BLVD 814|O|O-Assignment of Lease|    |    |ARLAND LLC                          |142000|2016-06-24 00:00:00|20160100012675                  |False
23363|17040315|31285|412006|1111 ARLINGTON BLVD 815|||2731|0541|ARLAND LLC                          |20500|1995-04-07 00:00:00||False
23363|17040315|31285|412006|1111 ARLINGTON BLVD 815|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
23363|17040315|31285|412006|1111 ARLINGTON BLVD 815|||3868|2209|ARLAND LLC                          |149000|2005-07-11 00:00:00||False
23363|17040315|31285|412006|1111 ARLINGTON BLVD 815|O|O-Assignment of Lease|||ARLAND LLC|129000|2022-04-15 00:00:00|20220100007789                  |False
23364|17040316|31286|412006|1111 ARLINGTON BLVD 816|5|5-Not Market Sale|1624|0099|ARLAND LLC                          |0|1966-01-01 00:00:00||False
23364|17040316|31286|412006|1111 ARLINGTON BLVD 816|5|5-Not Market Sale|2755|2186|ARLAND LLC                          |0|1995-12-28 00:00:00||False
23364|17040316|31286|412006|1111 ARLINGTON BLVD 816|||3987|2156|ARLAND LLC                          |178000|2006-06-01 00:00:00||False
23364|17040316|31286|412006|1111 ARLINGTON BLVD 816|1|1-Foreclosure, Auction, Bankru|4760|1044|ARLAND LLC                          |77500|2014-03-26 00:00:00||False
23364|17040316|31286|412006|1111 ARLINGTON BLVD 816|O|O-Assignment of Lease|||ARLAND LLC|154000|2023-02-27 00:00:00|20230100001895                  |False
53794|17040317|31287|412006|1111 ARLINGTON BLVD 817|5|5-Not Market Sale|1624|0099|ARLAND LLC                          |0|1966-01-01 00:00:00||False
